disease	drug	proximity	pval
Amyloid Neuropathies	ustekinumab	3	0.978489696
Amyloid Neuropathies	valdecoxib	2.333333333	0.606932244
Amyloid Neuropathies	valine	2	0.287885505
Amyloid Neuropathies	valproic acid	2.388888889	0.960465034
Amyloid Neuropathies	valrubicin	2	0.590280184
Amyloid Neuropathies	valsartan	2	0.414499996
Amyloid Neuropathies	vandetanib	2	0.752856567
Amyloid Neuropathies	vardenafil	2	0.142838792
Amyloid Neuropathies	varenicline	2	0.116241933
Amyloid Neuropathies	vasopressin	2	0.159871187
Amyloid Neuropathies	vecuronium	3	0.825994008
Amyloid Neuropathies	vedolizumab	2	0.585944168
Amyloid Neuropathies	velaglucerase alfa	2	0.460172163
Amyloid Neuropathies	vemurafenib	2	0.565406593
Amyloid Neuropathies	venetoclax	2	0.615393999
Amyloid Neuropathies	venlafaxine	1.333333333	8.78E-05
Amyloid Neuropathies	verapamil	2.090909091	0.230736064
Amyloid Neuropathies	vernakalant	2.25	0.963508727
Amyloid Neuropathies	vigabatrin	2.5	0.762052121
Amyloid Neuropathies	vilanterol	1	0.001418066
Amyloid Neuropathies	vilazodone	1	7.21E-07
Amyloid Neuropathies	vildagliptin	3	0.999856459
Amyloid Neuropathies	viloxazine	2	0.271893552
Amyloid Neuropathies	vinblastine	1.833333333	0.18320639
Amyloid Neuropathies	vincristine	2	0.644964041
Amyloid Neuropathies	vindesine	2	0.517763715
Amyloid Neuropathies	vinflunine	2	0.615393999
Amyloid Neuropathies	vinorelbine	2	0.599239516
Amyloid Neuropathies	vismodegib	3	0.976866046
Amyloid Neuropathies	vitamin a	2.176470588	0.029706352
Amyloid Neuropathies	vitamin d	2	0.448942506
Amyloid Neuropathies	vitamin e	1.888888889	0.080762887
Amyloid Neuropathies	von willebrand factor human	2	0.444596229
Amyloid Neuropathies	vonicog alfa	2	0.421945576
Amyloid Neuropathies	vorapaxar	2	0.414499996
Amyloid Neuropathies	voretigene neparvovec	2	0.11998014
Amyloid Neuropathies	vorinostat	2	0.751326275
Amyloid Neuropathies	vortioxetine	1.857142857	0.008102768
Amyloid Neuropathies	voxelotor	2	0.145843358
Amyloid Neuropathies	warfarin	1.5	9.26E-06
Amyloid Neuropathies	xamoterol	2	0.43054705
Amyloid Neuropathies	xanthinol	2	0.555403771
Amyloid Neuropathies	ximelagatran	2	0.5
Amyloid Neuropathies	xylometazoline	2.666666667	0.994106631
Amyloid Neuropathies	yohimbine	2.647058824	0.999946077
Amyloid Neuropathies	zafirlukast	4	0.980095618
Amyloid Neuropathies	zaleplon	2	0.124070671
Amyloid Neuropathies	zanamivir	3	0.754412841
Amyloid Neuropathies	zanubrutinib	2.066666667	0.954954914
Amyloid Neuropathies	zidovudine	2	0.556515708
Amyloid Neuropathies	zileuton	2	0.423762098
Amyloid Neuropathies	zimelidine	1.333333333	0.000132668
Amyloid Neuropathies	zinc	1.939130435	2.92E-06
Amyloid Neuropathies	zinc acetate	1.939130435	2.33E-06
Amyloid Neuropathies	zinc chloride	1.939130435	9.13E-07
Amyloid Neuropathies	ziprasidone	2.56	0.999893133
Amyloid Neuropathies	zofenopril	1	0.001933191
Amyloid Neuropathies	zoledronic acid	2	0.159871187
Amyloid Neuropathies	zolmitriptan	2.75	0.9416298
Amyloid Neuropathies	zolpidem	2.25	0.281729524
Amyloid Neuropathies	zonisamide	2.56	0.957214322
Amyloid Neuropathies	zopiclone	2.2	0.098174163
Amyloid Neuropathies	zotepine	2.25	0.799025237
Amyloid Neuropathies	zucapsaicin	2	0.363244662
Amyloid Neuropathies	zuclopenthixol	2.714285714	0.999892176
Language Disorders	2-mercaptobenzothiazole	3	0.976703148
Language Disorders	5-o-phosphono-alpha-d-ribofuranosyl diphosphate	2	0.770245477
Language Disorders	abaloparatide	2	0.629518196
Language Disorders	abarelix	3	0.913890996
Language Disorders	abatacept	2	0.553579205
Language Disorders	abciximab	1.846153846	0.573798048
Language Disorders	abemaciclib	1	0.326246672
Language Disorders	abiraterone	2	0.663277069
Language Disorders	acalabrutinib	1	0.402829654
Language Disorders	acamprosate	1.761904762	0.009237845
Language Disorders	acarbose	2	0.344753139
Language Disorders	acebutolol	1	0.008929131
Language Disorders	aceclofenac	1.5	0.091465649
Language Disorders	acemetacin	1.5	0.06371029
Language Disorders	acenocoumarol	1	0.188898652
Language Disorders	acetaminophen	1.75	0.581329102
Language Disorders	acetazolamide	2	0.489117572
Language Disorders	acetohexamide	2	0.685059521
Language Disorders	acetohydroxamic acid	2	0.528115198
Language Disorders	acetophenazine	0.333333333	1.59E-13
Language Disorders	acetylcholine	2	0.640214361
Language Disorders	acetylcysteine	1.3	0.003282675
Language Disorders	acetyldigitoxin	1	0.152265404
Language Disorders	acetylsalicylic acid	1.392857143	0.360255976
Language Disorders	acitretin	1.571428571	0.608515966
Language Disorders	aclidinium	2.2	0.899781481
Language Disorders	acrivastine	2	0.585500004
Language Disorders	adalimumab	1	0.200196974
Language Disorders	adapalene	1.428571429	0.303023966
Language Disorders	ademetionine	1.75	0.166409925
Language Disorders	adenine	2	0.963327601
Language Disorders	adenosine	1.5	0.002645736
Language Disorders	adenosine phosphate	1.666666667	0.365834426
Language Disorders	afamelanotide	2	0.658641209
Language Disorders	afatinib	1	0.174005992
Language Disorders	aflibercept	2	0.671829973
Language Disorders	agkistrodon piscivorus antivenin	3	0.957799198
Language Disorders	agomelatine	2	0.826157111
Language Disorders	ajmaline	1	0.055296943
Language Disorders	albendazole	1	0.350260214
Language Disorders	albiglutide	2	0.787314658
Language Disorders	albutrepenonacog alfa	2	0.706709131
Language Disorders	alcaftadine	2	0.608508994
Language Disorders	alclofenac	1	0.115168379
Language Disorders	alclometasone	1	0.377174872
Language Disorders	aldesleukin	1.666666667	0.316919241
Language Disorders	alectinib	1	0.19057051
Language Disorders	alefacept	1.9	0.555940114
Language Disorders	alemtuzumab	1.9	0.485092469
Language Disorders	alendronic acid	1.8	0.738188339
Language Disorders	alfacalcidol	1.5	0.721228136
Language Disorders	alfentanil	2	0.723014943
Language Disorders	alfuzosin	2	0.771435865
Language Disorders	alglucosidase alfa	2	0.667945863
Language Disorders	alimemazine	2	0.539827837
Language Disorders	alirocumab	2	0.629518196
Language Disorders	aliskiren	2	0.610462984
Language Disorders	alitretinoin	1.666666667	0.534278607
Language Disorders	allopurinol	1	0.002404635
Language Disorders	almitrine	1	0.243395161
Language Disorders	almotriptan	2.5	0.994655398
Language Disorders	alogliptin	2	0.706709131
Language Disorders	alosetron	2	0.542598256
Language Disorders	alpelisib	1	0.174385383
Language Disorders	alpha-1-proteinase inhibitor	1	0.050914336
Language Disorders	alpha-linolenic acid	1.9	0.942691138
Language Disorders	alpha-tocopherol succinate	1.444444444	0.282829544
Language Disorders	alprazolam	2	0.247008329
Language Disorders	alprostadil	2	0.426706865
Language Disorders	alteplase	1.75	0.640594519
Language Disorders	aluminium	1.75	0.805737641
Language Disorders	aluminium phosphate	1.75	0.883228312
Language Disorders	aluminum acetate	1.75	0.878715887
Language Disorders	aluminum chloride	1	0.042410927
Language Disorders	alverine	2	0.638534927
Language Disorders	alvimopan	2	0.781407238
Language Disorders	amantadine	1.4	0.000284584
Language Disorders	ambenonium	2	0.615393999
Language Disorders	ambrisentan	2	0.654490539
Language Disorders	amcinonide	1	0.202997535
Language Disorders	amifampridine	2	0.644964041
Language Disorders	amifostine	2	0.369204521
Language Disorders	amiloride	1.625	0.04970131
Language Disorders	aminocaproic acid	1.666666667	0.549879391
Language Disorders	aminoglutethimide	2	0.456516354
Language Disorders	aminolevulinic acid	2	0.667945863
Language Disorders	aminophylline	1.5	0.124208926
Language Disorders	aminosalicylic acid	1	0.007449774
Language Disorders	amiodarone	1.428571429	0.060005223
Language Disorders	amisulpride	0.75	0.000179908
Language Disorders	amitriptyline	1.71875	0.000919757
Language Disorders	amlexanox	2	0.608710553
Language Disorders	amlodipine	2	0.605615913
Language Disorders	amobarbital	1.9	0.116291089
Language Disorders	amodiaquine	2	0.546040953
Language Disorders	amoxapine	1.707317073	1.93E-06
Language Disorders	amphetamine	1.411764706	1.18E-07
Language Disorders	ampicillin	2.333333333	0.873000275
Language Disorders	amrinone	1.75	0.481274004
Language Disorders	amsacrine	1.25	0.118188606
Language Disorders	amyl nitrite	2	0.669116496
Language Disorders	amylmetacresol	3	0.999041242
Language Disorders	amylocaine	1.857142857	0.178782836
Language Disorders	anagrelide	2	0.669116496
Language Disorders	anakinra	1	0.083821154
Language Disorders	anastrozole	2	0.488987956
Language Disorders	ancestim	1	0.247443801
Language Disorders	ancrod	2	0.709428529
Language Disorders	andexanet alfa	2	0.679454089
Language Disorders	angiotensin ii	1	0.034338783
Language Disorders	anileridine	2	0.757502749
Language Disorders	anisindione	2	0.622825128
Language Disorders	anisotropine methylbromide	2	0.668096209
Language Disorders	anistreplase	1.75	0.666241564
Language Disorders	antazoline	2	0.602371789
Language Disorders	anthralin	1.666666667	0.341530252
Language Disorders	anti-inhibitor coagulant complex	2	0.928715674
Language Disorders	"antihemophilic factor (recombinant), pegylated"	2	0.685059521
Language Disorders	antihemophilic factor human	2	0.663476055
Language Disorders	"antihemophilic factor, human recombinant"	1.636363636	0.641753566
Language Disorders	antipyrine	1.5	0.193858485
Language Disorders	antithrombin alfa	2	0.818942557
Language Disorders	antithrombin iii human	2	0.585053801
Language Disorders	antithymocyte immunoglobulin (rabbit)	1.888888889	0.898514872
Language Disorders	antrafenine	1.5	0.074533339
Language Disorders	apalutamide	1.928571429	0.156953123
Language Disorders	apixaban	2	0.73316308
Language Disorders	apomorphine	1.466666667	3.13E-08
Language Disorders	apraclonidine	1.333333333	0.005845904
Language Disorders	aprepitant	2	0.622825128
Language Disorders	aprotinin	2.25	0.958125926
Language Disorders	arbutamine	1.333333333	0.022186029
Language Disorders	arbutin	2	0.443484292
Language Disorders	ardeparin	2	0.611834923
Language Disorders	arformoterol	1	0.460172163
Language Disorders	argatroban	2	0.752556199
Language Disorders	aripiprazole	1.581395349	4.26E-08
Language Disorders	aripiprazole lauroxil	1.72	0.000441405
Language Disorders	armodafinil	0	6.26E-07
Language Disorders	arsenic trioxide	1.1	0.353016105
Language Disorders	ascorbic acid	2	0.884260057
Language Disorders	asenapine	1.473684211	7.85E-06
Language Disorders	asfotase alfa	2	0.594351872
Language Disorders	asparagine	1.833333333	0.367506433
Language Disorders	aspartic acid	1.85	0.816912143
Language Disorders	astemizole	1.25	0.031097307
Language Disorders	atenolol	1	0.008828648
Language Disorders	atezolizumab	1	1.87E-06
Language Disorders	atomoxetine	1.181818182	2.67E-08
Language Disorders	atorvastatin	1.8	0.856712318
Language Disorders	atosiban	1.25	1.40E-08
Language Disorders	atovaquone	2	0.629927932
Language Disorders	atracurium besylate	3	0.986527949
Language Disorders	atropine	2.142857143	0.837721366
Language Disorders	auranofin	1	0.128263651
Language Disorders	aurothioglucose	2	0.530809008
Language Disorders	avanafil	2	0.466895543
Language Disorders	avatrombopag	1.5	0.027295374
Language Disorders	avelumab	1	9.74E-05
Language Disorders	axicabtagene ciloleucel	1	0.02681328
Language Disorders	axitinib	1	0.018576155
Language Disorders	azacitidine	1	0.218002487
Language Disorders	azatadine	2	0.585500004
Language Disorders	azathioprine	1.5	0.727448766
Language Disorders	azelaic acid	2	0.5
Language Disorders	azelastine	2.25	0.820095682
Language Disorders	azilsartan medoxomil	1	0.055296943
Language Disorders	azithromycin	1	0.008828648
Language Disorders	bacitracin	1.5	0.420252008
Language Disorders	baclofen	2	0.678645779
Language Disorders	balsalazide	1.25	0.008726472
Language Disorders	baricitinib	1	0.20823918
Language Disorders	basiliximab	1.833333333	0.30879887
Language Disorders	becaplermin	1	0.057647348
Language Disorders	beclomethasone dipropionate	1	0.384606001
Language Disorders	belatacept	2	0.535599118
Language Disorders	belimumab	2	0.532482826
Language Disorders	belinostat	1.272727273	0.771514296
Language Disorders	bemiparin	2	0.734786493
Language Disorders	benazepril	1	0.013472051
Language Disorders	bendazac	1.5	0.096008614
Language Disorders	bendroflumethiazide	2	0.702875051
Language Disorders	benralizumab	1.5	0.042410927
Language Disorders	benserazide	2	0.382088578
Language Disorders	benzatropine	1	2.71E-08
Language Disorders	benzocaine	2	0.390833696
Language Disorders	benzoic acid	1.8	0.175865295
Language Disorders	benzonatate	1	0.038314193
Language Disorders	benzphetamine	1	2.30E-07
Language Disorders	benzthiazide	2	0.78151853
Language Disorders	benzylpenicillin	3	0.987417979
Language Disorders	benzylpenicilloyl polylysine	2	0.657702878
Language Disorders	bepotastine	2	0.566780568
Language Disorders	bepridil	1.5	0.025516874
Language Disorders	berberine	2	0.77223895
Language Disorders	betahistine	1.5	0.026411615
Language Disorders	betamethasone	1	0.384606001
Language Disorders	betaxolol	1	0.023133954
Language Disorders	betazole	3	0.956528974
Language Disorders	bethanechol	2	0.597662762
Language Disorders	bethanidine	1.428571429	0.001173293
Language Disorders	betrixaban	2	0.693698867
Language Disorders	bevacizumab	1.9	0.614766607
Language Disorders	bexarotene	1.333333333	0.324359281
Language Disorders	bezafibrate	1.571428571	0.723646391
Language Disorders	bicalutamide	1	0.460172163
Language Disorders	bilastine	2	0.594351872
Language Disorders	bimatoprost	2.333333333	0.976866046
Language Disorders	binimetinib	1.4	0.105474206
Language Disorders	bioallethrin	1.892857143	0.050116973
Language Disorders	biotin	1.666666667	0.289153113
Language Disorders	biperiden	2.5	0.949331344
Language Disorders	bisoprolol	1	0.002156608
Language Disorders	bivalirudin	2	0.742596867
Language Disorders	bleomycin	1	0.00707124
Language Disorders	blinatumomab	1.5	0.212833699
Language Disorders	bortezomib	1.5	0.801660332
Language Disorders	bosentan	2	0.651217293
Language Disorders	bosutinib	1	0.008792216
Language Disorders	botulinum toxin type a	1.5	0.239448899
Language Disorders	botulinum toxin type b	1	8.42E-05
Language Disorders	bremelanotide	2.4	0.999323515
Language Disorders	brentuximab vedotin	1	0.008828648
Language Disorders	bretylium	1	0.174385383
Language Disorders	brexanolone	2	0.183773654
Language Disorders	brexpiprazole	1.2	3.02E-05
Language Disorders	brigatinib	1	0.035649537
Language Disorders	brimonidine	1.333333333	0.000366928
Language Disorders	brinzolamide	2	0.328975088
Language Disorders	brivaracetam	2.090909091	0.711462107
Language Disorders	brolucizumab	2	0.77223895
Language Disorders	bromazepam	2	0.252852249
Language Disorders	bromfenac	1.5	0.11220399
Language Disorders	bromocriptine	1.611111111	0.000111886
Language Disorders	bromodiphenhydramine	2	0.580471939
Language Disorders	brompheniramine	2.166666667	0.847954577
Language Disorders	buclizine	2	0.575927349
Language Disorders	budesonide	1	0.212237436
Language Disorders	bufexamac	1.5	0.181979383
Language Disorders	bumetanide	2	0.762052121
Language Disorders	bupivacaine	2	0.353763247
Language Disorders	buprenorphine	2.25	0.988054921
Language Disorders	bupropion	1.25	0.000443119
Language Disorders	buserelin	2.5	0.966662056
Language Disorders	buspirone	1.857142857	0.48245454
Language Disorders	butabarbital	1.941176471	0.169023041
Language Disorders	butalbital	1.941176471	0.191196321
Language Disorders	butamben	1.931034483	0.221054264
Language Disorders	butenafine	2	0.545204053
Language Disorders	butobarbital	1.9	0.14836589
Language Disorders	butorphanol	2	0.805148006
Language Disorders	butriptyline	0.666666667	8.06E-10
Language Disorders	butylscopolamine	2	0.658641209
Language Disorders	cabazitaxel	1	0.140099235
Language Disorders	cabergoline	1.55	0.000363905
Language Disorders	cabozantinib	1	0.233808329
Language Disorders	caffeine	1.78125	0.043226422
Language Disorders	calcifediol	1	0.272551234
Language Disorders	calcipotriol	1	0.272551234
Language Disorders	calcitriol	1	0.041950183
Language Disorders	calcium	1.736842105	0.40522399
Language Disorders	calcium carbimide	2	0.321354221
Language Disorders	calcium chloride	2	0.662018519
Language Disorders	calcium citrate	1.580645161	0.001915966
Language Disorders	calcium levulinate	1.5	0.404653594
Language Disorders	calcium phosphate	1.580645161	0.002733556
Language Disorders	calcium phosphate dihydrate	1.580645161	0.009802542
Language Disorders	camphor	2	0.43872127
Language Disorders	canakinumab	2	0.642321565
Language Disorders	candesartan cilexetil	1	0.030499728
Language Disorders	cangrelor	2	0.331936997
Language Disorders	cannabidiol	1.789473684	0.038827963
Language Disorders	cantharidin	2	0.780705359
Language Disorders	capecitabine	2	0.762430572
Language Disorders	caplacizumab	2	0.696022825
Language Disorders	capromab pendetide	2	0.463996416
Language Disorders	capsaicin	1.5	0.384606001
Language Disorders	capsicum oleoresin	2	0.636008977
Language Disorders	captopril	1.6	0.141459009
Language Disorders	carbamazepine	1.888888889	0.384031062
Language Disorders	carbamoylcholine	2.166666667	0.931740086
Language Disorders	carbetocin	1	0.000509398
Language Disorders	carbidopa	2	0.434593407
Language Disorders	carbimazole	3	0.983682856
Language Disorders	carbinoxamine	2	0.566780568
Language Disorders	carbocisteine	2	0.806261058
Language Disorders	carbon monoxide	2	0.433219432
Language Disorders	carboprost tromethamine	2	0.533104457
Language Disorders	carboxin	2	0.844968589
Language Disorders	carboxymethylcellulose	2	0.717170456
Language Disorders	carfilzomib	1.833333333	0.974426884
Language Disorders	carglumic acid	1	0.073469188
Language Disorders	cariprazine	1.333333333	0.000246933
Language Disorders	carisoprodol	2	0.40590907
Language Disorders	carmustine	2	0.696698234
Language Disorders	carprofen	1.5	0.109087927
Language Disorders	carteolol	1	0.026153288
Language Disorders	carvedilol	1.611111111	0.054102999
Language Disorders	castor oil	2	0.669894313
Language Disorders	catridecacog	3	0.993497617
Language Disorders	catumaxomab	1.857142857	0.403188117
Language Disorders	cefazolin	2	0.586159519
Language Disorders	cefdinir	2	0.555403771
Language Disorders	cefotaxime	2.333333333	0.981977655
Language Disorders	ceftriaxone	2.333333333	0.825183572
Language Disorders	celecoxib	1.75	0.566111506
Language Disorders	celiprolol	1.333333333	6.46E-05
Language Disorders	cemiplimab	1	0.000958758
Language Disorders	cenegermin	1	0.193326912
Language Disorders	ceritinib	1	0.255292482
Language Disorders	cerivastatin	2	0.643348413
Language Disorders	cerliponase alfa	2	0.706709131
Language Disorders	certolizumab pegol	1	0.245271803
Language Disorders	ceruletide	2	0.460172163
Language Disorders	cetirizine	2	0.575927349
Language Disorders	cetrorelix	2.5	0.97342865
Language Disorders	cetuximab	1.818181818	0.506053789
Language Disorders	cevimeline	2	0.629518196
Language Disorders	chenodeoxycholic acid	2.333333333	0.953522116
Language Disorders	chloramphenicol	2	0.717170456
Language Disorders	chlorcyclizine	2	0.59334829
Language Disorders	chlordiazepoxide	2	0.145408265
Language Disorders	chlorhexidine	2	0.525138553
Language Disorders	chlormerodrin	1.5	0.014010131
Language Disorders	chlormezanone	2	0.532482826
Language Disorders	chlorobutanol	1	0.068846728
Language Disorders	chloroprocaine	1.25	6.63E-06
Language Disorders	chloroquine	2	0.772856098
Language Disorders	chlorothiazide	2	0.662018519
Language Disorders	chlorpheniramine	0.75	4.65E-09
Language Disorders	chlorpromazine	1.615384615	0.000413402
Language Disorders	chlorpropamide	2	0.5
Language Disorders	chlorprothixene	1.583333333	0.001545837
Language Disorders	chlorthalidone	2	0.404653594
Language Disorders	chlorzoxazone	2	0.674847044
Language Disorders	cholecalciferol	1	0.222876455
Language Disorders	cholecystokinin	1	0.012587014
Language Disorders	cholesterol	1.666666667	0.627251025
Language Disorders	choline	2	0.729010863
Language Disorders	choline magnesium trisalicylate	1.5	0.086520653
Language Disorders	choline salicylate	2	0.753605386
Language Disorders	chondroitin sulfate	1.5	0.052657969
Language Disorders	choriogonadotropin alfa	2	0.727180325
Language Disorders	chorionic gonadotropin (human)	2	0.594351872
Language Disorders	chromic chloride	1	0.218002487
Language Disorders	chromic nitrate	2	0.673753328
Language Disorders	chromium	2	0.685059521
Language Disorders	chromium gluconate	2	0.686025401
Language Disorders	chromium nicotinate	2	0.631904738
Language Disorders	chromous sulfate	2	0.673753328
Language Disorders	chymopapain	2	0.575927349
Language Disorders	ciclesonide	1	0.384606001
Language Disorders	ciclopirox	1	0.255292482
Language Disorders	cilastatin	3	0.988804402
Language Disorders	cilazapril	1	0.003304639
Language Disorders	cilostazol	2	0.69337664
Language Disorders	cimetidine	3	0.886125903
Language Disorders	cinacalcet	2	0.607564331
Language Disorders	cinchocaine	1.333333333	0.023191546
Language Disorders	cinnarizine	1.75	0.013306123
Language Disorders	ciprofibrate	2	0.840128813
Language Disorders	ciprofloxacin	1	0.03635891
Language Disorders	cisapride	1.25	0.000758091
Language Disorders	cisatracurium	3	0.988690301
Language Disorders	cisplatin	1.5	0.360728322
Language Disorders	citalopram	1	0.000915877
Language Disorders	citric acid	2.090909091	0.998524356
Language Disorders	citrulline	1.833333333	0.414821072
Language Disorders	cladribine	1.777777778	0.5473006
Language Disorders	clarithromycin	1	0.073469188
Language Disorders	clemastine	2	0.585500004
Language Disorders	clenbuterol	1.4	0.05000386
Language Disorders	clevidipine	1.75	0.153744728
Language Disorders	clidinium	2	0.5
Language Disorders	clobazam	2	0.238905068
Language Disorders	clobetasol propionate	1	0.400760484
Language Disorders	clobetasone	1	0.384606001
Language Disorders	clocortolone	1	0.350260214
Language Disorders	clodronic acid	1	0.104784205
Language Disorders	clofarabine	2	0.791775824
Language Disorders	clofazimine	2	0.535599118
Language Disorders	clofedanol	2	0.556515708
Language Disorders	clofibrate	2	0.815939875
Language Disorders	clomifene	1	0.174385383
Language Disorders	clomipramine	1.166666667	1.67E-05
Language Disorders	clonazepam	2	0.328510242
Language Disorders	clonidine	1.833333333	0.327452948
Language Disorders	clopidogrel	2	0.264984422
Language Disorders	clorazepic acid	2	0.197117111
Language Disorders	clotiazepam	2	0.331782452
Language Disorders	clotrimazole	2	0.7921613
Language Disorders	clove oil	2	0.996620936
Language Disorders	clozapine	1.703703704	0.001658062
Language Disorders	coagulation factor ix (recombinant)	1.857142857	0.720812112
Language Disorders	coagulation factor ix human	1.857142857	0.727807788
Language Disorders	coagulation factor vii human	2	0.745413408
Language Disorders	coagulation factor viia recombinant human	2.166666667	0.978402087
Language Disorders	cobimetinib	1	0.232658061
Language Disorders	cocaine	1.111111111	1.16E-08
Language Disorders	coccidioides immitis spherule	1.857142857	0.920838772
Language Disorders	codeine	2	0.787408637
Language Disorders	colchicine	1	0.384606001
Language Disorders	collagenase clostridium histolyticum	1.75	0.63983596
Language Disorders	conestat alfa	2.166666667	0.989914862
Language Disorders	conivaptan	1	0.000148135
Language Disorders	copanlisib	1.5	0.377443872
Language Disorders	copper	1.632352941	0.765627765
Language Disorders	corifollitropin alfa	2	0.655955894
Language Disorders	corticorelin ovine triflutate	2	0.615900914
Language Disorders	corticotropin	2	0.492060085
Language Disorders	cortisone acetate	1	0.384606001
Language Disorders	creatine	1.428571429	0.003192709
Language Disorders	crisaborole	2	0.761049079
Language Disorders	crizanlizumab	2	0.599239516
Language Disorders	crizotinib	1	0.125785469
Language Disorders	crofelemer	1.5	0.320545911
Language Disorders	cromoglicic acid	2	0.76235489
Language Disorders	crotalus adamanteus antivenin	3	0.9861715
Language Disorders	cryptenamine	2.2	0.78876505
Language Disorders	cupric chloride	2	0.726648401
Language Disorders	curcumin	1.6	0.644873601
Language Disorders	cyanocobalamin	2.166666667	0.846489133
Language Disorders	cyclandelate	2	0.530063626
Language Disorders	cyclizine	2	0.636008977
Language Disorders	cyclobenzaprine	1.333333333	4.45E-05
Language Disorders	cyclopentolate	2	0.515010203
Language Disorders	cyclophosphamide	2	0.741986367
Language Disorders	cyclosporine	1.75	0.582398532
Language Disorders	cyclothiazide	2	0.622556128
Language Disorders	cycrimine	2	0.533104457
Language Disorders	cyproheptadine	1.571428571	0.02254035
Language Disorders	cyproterone acetate	1.5	0.638534927
Language Disorders	cysteamine	2.5	0.975575482
Language Disorders	cysteine	1.923076923	0.830693894
Language Disorders	cystine	2.333333333	0.866751936
Language Disorders	cytarabine	2	0.701397079
Language Disorders	d-alpha-tocopherol acetate	1.444444444	0.25241154
Language Disorders	d-methionine	2	0.686025401
Language Disorders	d-serine	1	0.014971606
Language Disorders	dabigatran etexilate	2	0.781997513
Language Disorders	dabrafenib	1	0.025938833
Language Disorders	dacarbazine	2	0.823415893
Language Disorders	dactinomycin	1.5	0.55895645
Language Disorders	dalfampridine	2	0.750382085
Language Disorders	dalteparin	2	0.813393451
Language Disorders	damoctocog alfa pegol	2	0.660379201
Language Disorders	danaparoid	2	0.602636553
Language Disorders	danazol	1.8	0.99301017
Language Disorders	dantrolene	2	0.722330182
Language Disorders	dapiprazole	2.333333333	0.996656179
Language Disorders	daratumumab	0	1.58E-08
Language Disorders	darbepoetin alfa	1	0.073469188
Language Disorders	darifenacin	2.2	0.875618029
Language Disorders	darolutamide	1.5	0.874012986
Language Disorders	dasatinib	1.260869565	0.092211436
Language Disorders	daunorubicin	1.5	0.460966068
Language Disorders	debrisoquine	1	0.009462018
Language Disorders	decamethonium	2.25	0.966956831
Language Disorders	decitabine	1	0.193738942
Language Disorders	defibrotide	1.333333333	0.001091437
Language Disorders	deflazacort	1	0.363244662
Language Disorders	degarelix	3	0.970198184
Language Disorders	demecarium	2.5	0.882160043
Language Disorders	denileukin diftitox	1.666666667	0.278771864
Language Disorders	denosumab	2	0.74758846
Language Disorders	deoxycholic acid	2	0.873576539
Language Disorders	dequalinium	2	0.8685223
Language Disorders	deserpidine	2	0.545204053
Language Disorders	desflurane	2.055555556	0.531901973
Language Disorders	desipramine	1.571428571	3.45E-06
Language Disorders	deslanoside	1	0.130502903
Language Disorders	desloratadine	2	0.580471939
Language Disorders	desmopressin	1.333333333	0.000188837
Language Disorders	desogestrel	1.5	0.878848306
Language Disorders	desonide	1	0.350260214
Language Disorders	desoximetasone	1	0.384606001
Language Disorders	desoxycorticosterone acetate	2	0.722330182
Language Disorders	desvenlafaxine	0.333333333	1.06E-11
Language Disorders	deutetrabenazine	2	0.553579205
Language Disorders	dexamethasone	1.6	0.835289991
Language Disorders	dexbrompheniramine	2	0.615393999
Language Disorders	dexchlorpheniramine maleate	2	0.564207201
Language Disorders	dexfenfluramine	1	0.000232082
Language Disorders	dexibuprofen	1.666666667	0.486454426
Language Disorders	dexketoprofen	1.5	0.090058001
Language Disorders	dexlansoprazole	1.666666667	0.283228276
Language Disorders	dexmedetomidine	0	1.24E-23
Language Disorders	dexmethylphenidate	0.333333333	1.34E-15
Language Disorders	dexrazoxane	1.5	0.482618841
Language Disorders	dextroamphetamine	1.4	0.000389272
Language Disorders	dextromethorphan	1.714285714	0.112201237
Language Disorders	dextropropoxyphene	2	0.710772828
Language Disorders	dextrothyroxine	2	0.926343141
Language Disorders	dezocine	2	0.727448766
Language Disorders	diacerein	2	0.810795876
Language Disorders	diamorphine	2	0.721326771
Language Disorders	diazepam	2	0.275390824
Language Disorders	diazoxide	1.833333333	0.562907569
Language Disorders	dibotermin alfa	1.5	0.547040401
Language Disorders	dichloroacetic acid	2	0.760551101
Language Disorders	dichlorobenzyl alcohol	2.1	0.733638178
Language Disorders	diclofenac	1.5	0.100780409
Language Disorders	diclofenamide	2	0.381560143
Language Disorders	dicoumarol	1.333333333	0.051063277
Language Disorders	dicyclomine	2	0.556515708
Language Disorders	didanosine	2	0.74758846
Language Disorders	dienestrol	1	0.233213307
Language Disorders	dienogest	1.5	0.878848306
Language Disorders	diethylcarbamazine	1.5	0.082561795
Language Disorders	diethylpropion	0.5	7.10E-06
Language Disorders	diethylstilbestrol	1.333333333	0.323006193
Language Disorders	diflorasone	1	0.384606001
Language Disorders	diflunisal	1.5	0.057811688
Language Disorders	difluocortolone	1.5	0.469190992
Language Disorders	difluprednate	1	0.43054705
Language Disorders	digitoxin	1	0.174005992
Language Disorders	digoxin	1	0.177789332
Language Disorders	dihydro-alpha-ergocryptine	1	3.51E-05
Language Disorders	dihydroergocornine	1.916666667	0.35567184
Language Disorders	dihydroergocristine	1.793103448	0.023726857
Language Disorders	dihydroergotamine	1.75	0.133675397
