drug	disease.x	proximity.x	pval.x	similarity.x	adjusted_similarity.x	disease.y	proximity.y	pval.y	similarity.y	adjusted_similarity.y
roxithromycin	Alzheimer Disease	0	0.003304639	1	0.916996180685167	Memory Disorders	0	1.43e-05	1	0.998215649602825
sacubitril	Alzheimer Disease	0	0.008929131	1	0.999498689431439	Alzheimer Disease	0	0.008929131	1	0.999498689431439
safinamide	Alzheimer Disease	0	0.021056093	1	0.999498689431439	Alzheimer Disease	0	0.021056093	1	0.999498689431439
salbutamol	Alzheimer Disease	0	0.000565833	1	0.916996180685167	Amyloid Neuropathies	1.666666667	0.023223232	0.58333333325	0.529196411593648
salbutamol	Alzheimer Disease	0	0.000565833	1	0.916996180685167	Memory Disorders	0.333333333	2.32e-05	0.91666666675	0.994327988993813
salbutamol	Alzheimer Disease	0	0.000565833	1	0.916996180685167	Alzheimer Disease	0	0.000565833	1	0.916996180685167
salicylic acid	Alzheimer Disease	0	0.000155164	1	0.999498689431439	Alzheimer Disease	0	0.000155164	1	0.999498689431439
salmeterol	Alzheimer Disease	0	0.000139083	1	0.916996180685167	Amyloid Neuropathies	1.666666667	0.035379458	0.58333333325	0.529196411593648
salmeterol	Alzheimer Disease	0	0.000139083	1	0.916996180685167	Language Disorders	1.333333333	0.040055913	0.66666666675	0.282698225791934
salmeterol	Alzheimer Disease	0	0.000139083	1	0.916996180685167	Memory Disorders	0.333333333	3.87e-05	0.91666666675	0.827624363017613
salmeterol	Alzheimer Disease	0	0.000139083	1	0.916996180685167	Alzheimer Disease	0	0.000139083	1	0.916996180685167
salmon calcitonin	Alzheimer Disease	0	0.01872673	1	0.916996180685167	Alzheimer Disease	0	0.01872673	1	0.916996180685167
salmon calcitonin	Alzheimer Disease	0	0.01872673	1	0.916996180685167	Memory Disorders	1	0.02681328	0.75	0.945098078077383
salsalate	Alzheimer Disease	0	0.000273353	1	0.999498689431439	Alzheimer Disease	0	0.000273353	1	0.999498689431439
sapropterin	Alzheimer Disease	0.5	0.00948282	0.875	0.759915570510543	Memory Disorders	1.25	0.012547567	0.6875	0.878194941649415
sapropterin	Alzheimer Disease	0.5	0.00948282	0.875	0.759915570510543	Alzheimer Disease	0.5	0.00948282	0.875	0.759915570510543
saxagliptin	Alzheimer Disease	0	3.87e-05	1	0.999498689431439	Alzheimer Disease	0	3.87e-05	1	0.999498689431439
scopolamine	Alzheimer Disease	0.75	0.00351638	0.8125	0.99141072500421	Alzheimer Disease	0.75	0.00351638	0.8125	0.99141072500421
secobarbital	Alzheimer Disease	0.823529412	0.001753053	0.794117647	0.585014524585476	Memory Disorders	1.294117647	3.52e-09	0.67647058825	0.860789819747103
secobarbital	Alzheimer Disease	0.823529412	0.001753053	0.794117647	0.585014524585476	Alzheimer Disease	0.823529412	0.001753053	0.794117647	0.585014524585476
secobarbital	Alzheimer Disease	0.823529412	0.001753053	0.794117647	0.585014524585476	Language Disorders	1.647058824	0.002360094	0.588235294	0.152460696976449
secukinumab	Alzheimer Disease	0	0.020102841	1	0.999498689431439	Alzheimer Disease	0	0.020102841	1	0.999498689431439
selegiline	Alzheimer Disease	0	0.002550881	1	0.999498689431439	Memory Disorders	1.5	0.03003023	0.625	0.206233008902532
selegiline	Alzheimer Disease	0	0.002550881	1	0.999498689431439	Alzheimer Disease	0	0.002550881	1	0.999498689431439
selexipag	Alzheimer Disease	0	0.014520343	1	0.999498689431439	Alzheimer Disease	0	0.014520343	1	0.999498689431439
sermorelin	Alzheimer Disease	0	0.01733094	1	0.999498689431439	Alzheimer Disease	0	0.01733094	1	0.999498689431439
sertindole	Alzheimer Disease	0.375	4.35e-06	0.90625	0.812253019594901	Memory Disorders	1	3.35e-08	0.75	0.945098078077383
sertindole	Alzheimer Disease	0.375	4.35e-06	0.90625	0.812253019594901	Alzheimer Disease	0.375	4.35e-06	0.90625	0.812253019594901
sertindole	Alzheimer Disease	0.375	4.35e-06	0.90625	0.812253019594901	Language Disorders	1.5	0.011479969	0.625	0.206233008902532
sertraline	Alzheimer Disease	0.4	0.001579362	0.9	0.802535407328769	Language Disorders	0.6	7.14e-14	0.85	0.984085674323206
sertraline	Alzheimer Disease	0.4	0.001579362	0.9	0.802535407328769	Memory Disorders	1	1.05e-05	0.75	0.475573630947114
sertraline	Alzheimer Disease	0.4	0.001579362	0.9	0.802535407328769	Alzheimer Disease	0.4	0.001579362	0.9	0.802535407328769
sertraline	Alzheimer Disease	0.4	0.001579362	0.9	0.802535407328769	Amyloid Neuropathies	1.6	0.000785227	0.6	0.168291655175903
sibutramine	Alzheimer Disease	0.333333333	0.007573988	0.91666666675	0.827624363017613	Memory Disorders	0.666666667	5.46e-08	0.83333333325	0.676022002084612
sibutramine	Alzheimer Disease	0.333333333	0.007573988	0.91666666675	0.827624363017613	Alzheimer Disease	0.333333333	0.007573988	0.91666666675	0.827624363017613
sibutramine	Alzheimer Disease	0.333333333	0.007573988	0.91666666675	0.827624363017613	Language Disorders	0.333333333	5.5e-13	0.91666666675	0.827624363017613
sibutramine	Alzheimer Disease	0.333333333	0.007573988	0.91666666675	0.827624363017613	Amyloid Neuropathies	1.333333333	0.000234884	0.66666666675	0.771890854627055
silodosin	Alzheimer Disease	0.666666667	0.046093511	0.83333333325	0.676022002084612	Alzheimer Disease	0.666666667	0.046093511	0.83333333325	0.676022002084612
silodosin	Alzheimer Disease	0.666666667	0.046093511	0.83333333325	0.676022002084612	Memory Disorders	1	0.00052867	0.75	0.945098078077383
siltuximab	Alzheimer Disease	0	0.026378826	1	0.916996180685167	Memory Disorders	0	1.11e-06	1	0.998215649602825
siltuximab	Alzheimer Disease	0	0.026378826	1	0.916996180685167	Alzheimer Disease	0	0.026378826	1	0.916996180685167
simoctocog alfa	Alzheimer Disease	0	0.002156608	1	0.999498689431439	Alzheimer Disease	0	0.002156608	1	0.999498689431439
sirolimus	Alzheimer Disease	0.333333333	0.003985452	0.91666666675	0.998223773135608	Memory Disorders	1	0.039847608	0.75	0.945098078077383
