disease	drug	proximity	pval	similarity	adjusted_similarity
Alzheimer Disease	amitriptyline	0.78125	6.01e-05	0.8046875	0.610423252147882
Alzheimer Disease	amlexanox	0.5	0.013642579	0.875	0.996659662454039
Alzheimer Disease	amlodipine	0.714285714	0.012123572	0.8214285715	0.992492293900605
Alzheimer Disease	amodiaquine	0	0.021971111	1	0.999498689431439
Alzheimer Disease	amoxapine	0.780487805	1.25e-08	0.80487804875	0.610876294390655
Alzheimer Disease	amphetamine	0.411764706	3.51e-08	0.8970588235	0.797832952548616
Alzheimer Disease	anakinra	0	0.005026772	1	0.999498689431439
Alzheimer Disease	anastrozole	0	0.007713034	1	0.916996180685167
Alzheimer Disease	ancrod	0	0.038314193	1	0.999498689431439
Alzheimer Disease	angiotensin ii	0	0.001418066	1	0.916996180685167
Alzheimer Disease	anisotropine methylbromide	0.333333333	0.005346886	0.91666666675	0.998223773135608
Alzheimer Disease	anistreplase	0.25	0.000202811	0.9375	0.855352842489066
Alzheimer Disease	anti-inhibitor coagulant complex	0.125	9.93e-11	0.96875	0.889899669963022
Alzheimer Disease	antihemophilic factor human	0.5	0.029417335	0.875	0.759915570510543
Alzheimer Disease	antipyrine	0	0.004082163	1	0.999498689431439
Alzheimer Disease	antithrombin alfa	0	4.96e-05	1	0.999498689431439
Alzheimer Disease	antithrombin iii human	0	0.013406149	1	0.999498689431439
Alzheimer Disease	antrafenine	0	0.00157643	1	0.999498689431439
Alzheimer Disease	apixaban	0	0.000697973	1	0.999498689431439
Alzheimer Disease	apomorphine	0.4	8.6e-07	0.9	0.802535407328769
Alzheimer Disease	apraclonidine	0	2.04e-05	1	0.916996180685167
Alzheimer Disease	aprotinin	0.5	0.009406676	0.875	0.996659662454039
Alzheimer Disease	arbutamine	0	0.000435574	1	0.916996180685167
Alzheimer Disease	ardeparin	0.5	0.049300157	0.875	0.996659662454039
Alzheimer Disease	argatroban	0	0.01684862	1	0.999498689431439
Alzheimer Disease	aripiprazole	0.604651163	6.51e-13	0.84883720925	0.709011660557655
Alzheimer Disease	aripiprazole lauroxil	0.56	4.65e-09	0.86	0.731494181998516
Alzheimer Disease	armodafinil	0	0.008116575	1	0.916996180685167
Alzheimer Disease	arsenic trioxide	0.4	0.022156469	0.9	0.997713004352496
Alzheimer Disease	asenapine	0.368421053	2.68e-09	0.90789473675	0.814748339528598
Alzheimer Disease	atenolol	0	0.002858644	1	0.916996180685167
Alzheimer Disease	atomoxetine	0.636363636	0.015477541	0.840909091	0.69238807478022
Alzheimer Disease	atorvastatin	0.4	5.62e-05	0.9	0.802535407328769
Alzheimer Disease	atropine	0.571428571	0.00141293	0.85714285725	0.995622925786853
Alzheimer Disease	auranofin	0.5	0.038314193	0.875	0.996659662454039
Alzheimer Disease	avatrombopag	0.5	0.040851018	0.875	0.759915570510543
Alzheimer Disease	azacitidine	0	0.013955718	1	0.999498689431439
Alzheimer Disease	azilsartan medoxomil	0	0.006502383	1	0.916996180685167
Alzheimer Disease	bacitracin	0	0.000423244	1	0.916996180685167
Alzheimer Disease	balsalazide	0	1.61e-06	1	0.916996180685167
Alzheimer Disease	becaplermin	0	0.000334465	1	0.916996180685167
Alzheimer Disease	bemiparin	0.333333333	0.003676569	0.91666666675	0.998223773135608
Alzheimer Disease	benazepril	0	0.025214846	1	0.916996180685167
Alzheimer Disease	bendazac	0	0.000606114	1	0.999498689431439
Alzheimer Disease	bendroflumethiazide	0.6	0.007855241	0.85	0.711404818907248
Alzheimer Disease	benzatropine	0.4	0.001247614	0.9	0.802535407328769
Alzheimer Disease	benzphetamine	0.25	0.001448752	0.9375	0.855352842489066
Alzheimer Disease	benzthiazide	0.666666667	0.026411615	0.83333333325	0.676022002084612
Alzheimer Disease	bepridil	0.8	0.023223232	0.8	0.599220125721511
Alzheimer Disease	betaxolol	0	0.002263869	1	0.916996180685167
Alzheimer Disease	bethanechol	0.5	0.010191535	0.875	0.996659662454039
Alzheimer Disease	bethanidine	0.285714286	0.000101054	0.9285714285	0.843951868427611
Alzheimer Disease	betrixaban	0	0.018735328	1	0.999498689431439
Alzheimer Disease	bexarotene	0	5.12e-05	1	0.999498689431439
Alzheimer Disease	bezafibrate	0	6.35e-11	1	0.916996180685167
Alzheimer Disease	bimatoprost	0	0.00020483	1	0.999498689431439
Alzheimer Disease	binimetinib	0.2	6.43e-05	0.95	0.870142204938429
Alzheimer Disease	bioallethrin	1.071428571	0.031786274	0.73214285725	0.971461352214909
Alzheimer Disease	biperiden	0.5	0.015931411	0.875	0.996659662454039
Alzheimer Disease	bisoprolol	0	0.001378237	1	0.916996180685167
Alzheimer Disease	bivalirudin	0	0.011309699	1	0.999498689431439
Alzheimer Disease	bleomycin	0	0.002476499	1	0.916996180685167
Alzheimer Disease	bosentan	0	0.000914993	1	0.999498689431439
Alzheimer Disease	bosutinib	0.5	0.000298104	0.875	0.759915570510543
Alzheimer Disease	brexpiprazole	0.6	0.012540565	0.85	0.711404818907248
Alzheimer Disease	brimonidine	0.333333333	0.002266313	0.91666666675	0.827624363017613
Alzheimer Disease	brolucizumab	0	0.001385596	1	0.999498689431439
Alzheimer Disease	bromfenac	0	0.001514952	1	0.999498689431439
Alzheimer Disease	bromocriptine	0.444444444	3.12e-07	0.888888889	0.784334260371817
Alzheimer Disease	brompheniramine	0.833333333	0.04129361	0.79166666675	0.988249510046994
Alzheimer Disease	buclizine	0.5	0.038363253	0.875	0.996659662454039
Alzheimer Disease	budesonide	0.5	0.019968885	0.875	0.996659662454039
Alzheimer Disease	bufexamac	0.5	0.039170436	0.875	0.996659662454039
Alzheimer Disease	buprenorphine	0.5	0.006301495	0.875	0.996659662454039
Alzheimer Disease	bupropion	0.5	0.009947801	0.875	0.759915570510543
Alzheimer Disease	buspirone	0.428571429	0.000135969	0.89285714275	0.790970967897522
Alzheimer Disease	butamben	1	0.006280928	0.75	0.97809499521373
Alzheimer Disease	butobarbital	1	0.048491809	0.75	0.475573630947114
Alzheimer Disease	butriptyline	0.333333333	0.005172744	0.91666666675	0.827624363017613
Alzheimer Disease	cabergoline	0.4	2.9e-09	0.9	0.802535407328769
Alzheimer Disease	cabozantinib	0.333333333	0.006428897	0.91666666675	0.998223773135608
Alzheimer Disease	calcifediol	0	0.030499728	1	0.999498689431439
Alzheimer Disease	calcipotriol	0	0.019968885	1	0.999498689431439
Alzheimer Disease	canakinumab	0	0.013228375	1	0.916996180685167
Alzheimer Disease	candesartan cilexetil	0	0.004445649	1	0.916996180685167
Alzheimer Disease	cangrelor	0	0.000212122	1	0.999498689431439
Alzheimer Disease	cannabidiol	0.789473684	5.63e-05	0.802631579	0.605523182537791
Alzheimer Disease	cantharidin	0	0.005026772	1	0.999498689431439
Alzheimer Disease	capecitabine	0	0.001418066	1	0.999498689431439
Alzheimer Disease	caplacizumab	0	0.000697973	1	0.999498689431439
Alzheimer Disease	captopril	0.4	0.004132491	0.9	0.997713004352496
Alzheimer Disease	carbamoylcholine	0.5	0.000252229	0.875	0.996659662454039
Alzheimer Disease	carboprost tromethamine	0	0.03295122	1	0.916996180685167
Alzheimer Disease	carboxymethylcellulose	0	0.004752629	1	0.999498689431439
Alzheimer Disease	cariprazine	0.5	0.003800369	0.875	0.759915570510543
Alzheimer Disease	carmustine	0	0.011309699	1	0.999498689431439
Alzheimer Disease	carprofen	0	0.003659981	1	0.999498689431439
Alzheimer Disease	carteolol	0	0.002927344	1	0.916996180685167
Alzheimer Disease	carvedilol	0.444444444	1.68e-06	0.888888889	0.784334260371817
Alzheimer Disease	castor oil	0	0.000832077	1	0.999498689431439
Alzheimer Disease	cefazolin	0.333333333	0.001731031	0.91666666675	0.998223773135608
Alzheimer Disease	cefdinir	0	0.023012062	1	0.916996180685167
Alzheimer Disease	celiprolol	0.166666667	2.21e-06	0.95833333325	0.879271554806123
Alzheimer Disease	cenegermin	0	0.023296852	1	0.999498689431439
Alzheimer Disease	cerivastatin	0	0.03810181	1	0.999498689431439
Alzheimer Disease	cerliponase alfa	0	0.000778463	1	0.999498689431439
Alzheimer Disease	cetrorelix	0.5	0.018246327	0.875	0.996659662454039
Alzheimer Disease	cevimeline	0.5	0.046014821	0.875	0.996659662454039
Alzheimer Disease	chenodeoxycholic acid	0.666666667	0.026128671	0.83333333325	0.993726881956618
Alzheimer Disease	chlorhexidine	0	0.01359838	1	0.999498689431439
