TTD_association	drug	proximity	pval	similarity	adjusted_similarity
Breast cancer 	danazol	0.4	0.032768595	0.9	0.997713004352496
Menorrhagia 	danazol	0.4	0.032768595	0.9	0.997713004352496
Overactive bladder 	darifenacin	0.8	0.008432523	0.8	0.989632625584422
Chronic myelogenous leukaemia 	dasatinib	0.608695652	0.004152711	0.847826087	0.994960591826623
Multiple myeloma 	dasatinib	0.608695652	0.004152711	0.847826087	0.994960591826623
Muscle spasm 	decamethonium	0.25	0.000116191	0.9375	0.998705144399657
Rheumatoid arthritis 	denosumab	0	0.004954394	1	0.999498689431439
Postmenopausal osteoporosis 	denosumab	0	0.004954394	1	0.999498689431439
Prostate cancer 	denosumab	0	0.004954394	1	0.999498689431439
Attention deficit hyperactivity disorder 	desipramine	0.476190476	7.92e-07	0.880952381	0.770606764631831
Depression 	desipramine	0.476190476	7.92e-07	0.880952381	0.770606764631831
Menopause symptom 	desvenlafaxine	0.333333333	0.001306053	0.91666666675	0.827624363017613
Major depressive disorder 	desvenlafaxine	0.333333333	0.001306053	0.91666666675	0.827624363017613
Rheumatoid arthritis 	dexamethasone	0.4	4.29e-05	0.9	0.802535407328769
Ankylosing spondylitis 	dexibuprofen	0.583333333	0.00057109	0.85416666675	0.995421355756168
Irritability 	dexmedetomidine	0	0.001482464	1	0.916996180685167
Narcolepsy 	dextroamphetamine	0.6	0.019535189	0.85	0.711404818907248
Attention deficit hyperactivity disorder 	dextroamphetamine	0.6	0.019535189	0.85	0.711404818907248
Cough 	dextromethorphan	0.619047619	4.75e-05	0.84523809525	0.701530711554085
Hypertension 	diazoxide	0.5	0.000937273	0.875	0.759915570510543
Osteoarthritis 	diclofenac	0	0.004705264	1	0.999498689431439
Functional bowel syndrome 	dicyclomine	0	0.001920768	1	0.999498689431439
Human immunodeficiency virus infection 	didanosine	0	4.1e-05	1	0.999498689431439
Lymphatic filariasis 	diethylcarbamazine	0	0.001163293	1	0.999498689431439
Pain 	diflunisal	0	0.002407693	1	0.999498689431439
Alcohol dependence 	dihydroergocristine	0.655172414	2.09e-07	0.8362068965	0.682283470682554
Hypocalcemia 	dihydrotachysterol	0	0.02681328	1	0.999498689431439
Abortion 	dinoprost tromethamine	0	0.0003844	1	0.999498689431439
Medical abortion 	dinoprostone	0.4	0.000423991	0.9	0.997713004352496
Hemorrhoids 	diosmin	0	0.001418066	1	0.999498689431439
Nausea 	diphenidol	0.333333333	0.003698157	0.91666666675	0.998223773135608
Allergic rhinitis 	diphenylpyraline	0.5	0.039984255	0.875	0.759915570510543
Chronic open-angle glaucoma 	dipivefrin	0	8.13e-06	1	0.999498689431439
Ventricular arrhythmias 	disopyramide	0.75	0.014632131	0.8125	0.99141072500421
Alcohol dependence 	disulfiram	0	0.00103082	1	0.999498689431439
Heart failure 	dobutamine	0.333333333	0.004318501	0.91666666675	0.827624363017613
Solid tumour/cancer 	docetaxel	0.5	0.01483018	0.875	0.759915570510543
