TTD_association	drug	proximity	pval	similarity	adjusted_similarity
Allergic rhinitis 	bepotastine	1	0.001385596	0.75	0.945098078077383
Chronic/stable angina 	bepridil	0.8	0.023223232	0.8	0.599220125721511
Chronic/stable angina 	bepridil	1.5	0.025516874	0.625	0.735272017343177
Hypertension 	betaxolol	0	0.002263869	1	0.916996180685167
Hypertension 	betaxolol	0.5	0.012692636	0.875	0.759915570510543
Hypertension 	betaxolol	1	0.023133954	0.75	0.939653140975545
Urinary retention 	bethanechol	0.5	0.010191535	0.875	0.996659662454039
Heart arrhythmia 	bethanidine	1.142857143	4.14e-06	0.71428571425	0.388190164697243
Heart arrhythmia 	bethanidine	1.428571429	0.001173293	0.64285714275	0.780366600171195
Heart arrhythmia 	bethanidine	0.285714286	0.000101054	0.9285714285	0.843951868427611
Venous thromboembolism 	betrixaban	0	0.018735328	1	0.999498689431439
Cerebrovascular ischaemia 	betrixaban	0	0.018735328	1	0.999498689431439
Glaucoma/ocular hypertension 	bevacizumab	1	1.55e-21	0.75	0.910611085269981
Cutaneous T-cell lymphoma 	bexarotene	0	5.12e-05	1	0.999498689431439
Hyperlipidaemia 	bezafibrate	1	0.009923418	0.75	0.945098078077383
Hyperlipidaemia 	bezafibrate	0	6.35e-11	1	0.916996180685167
Alopecia 	bimatoprost	0	0.00020483	1	0.999498689431439
Parkinson disease 	biperiden	0.5	0.015931411	0.875	0.996659662454039
Hypertension 	bisoprolol	1.5	0.044565463	0.625	0.661048189545015
Hypertension 	bisoprolol	0.5	0.017409882	0.875	0.759915570510543
Hypertension 	bisoprolol	0	0.001378237	1	0.916996180685167
Hypertension 	bisoprolol	1	0.002156608	0.75	0.475573630947114
Thrombocytopenia 	bivalirudin	0	0.011309699	1	0.999498689431439
Hodgkin lymphoma 	bleomycin	0	0.002476499	1	0.916996180685167
Hodgkin lymphoma 	bleomycin	1	0.00707124	0.75	0.939653140975545
Pulmonary arterial hypertension 	bosentan	0	0.000914993	1	0.999498689431439
Breast cancer 	bosutinib	1	0.008792216	0.75	0.939653140975545
Breast cancer 	bosutinib	0.5	0.000298104	0.875	0.759915570510543
Parkinson disease 	botulinum toxin type b	1	8.42e-05	0.75	0.939653140975545
Hodgkin lymphoma 	brentuximab vedotin	1	0.008828648	0.75	0.939653140975545
Anaplastic large cell lymphoma 	brigatinib	1	0.035649537	0.75	0.939653140975545
Non-small-cell lung cancer 	brigatinib	1	0.035649537	0.75	0.939653140975545
Ocular hypertension 	brimonidine	0.333333333	0.002266313	0.91666666675	0.827624363017613
Ocular hypertension 	brimonidine	1.333333333	0.000366928	0.66666666675	0.831480882514626
Glaucoma/ocular hypertension 	brimonidine	0.333333333	0.002266313	0.91666666675	0.827624363017613
Glaucoma/ocular hypertension 	brimonidine	1.333333333	0.000366928	0.66666666675	0.831480882514626
Open-angle glaucoma 	brinzolamide	1.4	0.000169367	0.65	0.810501261545562
Complex partial seizure 	brivaracetam	1.545454545	0.000599817	0.61363636375	0.720494914417713
Pain 	brivaracetam	1.545454545	0.000599817	0.61363636375	0.720494914417713
Epilepsy 	brivaracetam	1.545454545	0.000599817	0.61363636375	0.720494914417713
Panic attacks 	bromazepam	2.2	0.036160942	0.45	0.161590431201318
Panic attacks 	bromazepam	1.733333333	0.004625658	0.56666666675	0.126627035604995
Anxiety disorder 	bromazepam	2.2	0.036160942	0.45	0.161590431201318
Anxiety disorder 	bromazepam	1.733333333	0.004625658	0.56666666675	0.126627035604995
Postoperative inflammation 	bromfenac	0	0.001514952	1	0.999498689431439
Parkinson disease 	bromocriptine	1.611111111	0.000111886	0.59722222225	0.164439354755247
Parkinson disease 	bromocriptine	1.277777778	1.4e-08	0.6805555555	0.867467186258385
Parkinson disease 	bromocriptine	0.444444444	3.12e-07	0.888888889	0.784334260371817
Hay fever 	bromodiphenhydramine	1	0.003059102	0.75	0.945098078077383
Allergic rhinitis 	brompheniramine	0.833333333	0.04129361	0.79166666675	0.988249510046994
Nausea 	buclizine	0.5	0.038363253	0.875	0.996659662454039
Asthma 	budesonide	0.5	0.019968885	0.875	0.996659662454039
Dermatitis 	bufexamac	0.5	0.039170436	0.875	0.996659662454039
Anaesthesia 	bupivacaine	1.5	0.008659439	0.625	0.751224390915506
Pain 	buprenorphine	0.5	0.006301495	0.875	0.996659662454039
Smoking dependence 	bupropion	1.5	0.008675537	0.625	0.206233008902532
Smoking dependence 	bupropion	0.5	0.009947801	0.875	0.759915570510543
Smoking dependence 	bupropion	1.25	0.000443119	0.6875	0.868009167412631
Anxiety disorder 	buspirone	1	1.1e-06	0.75	0.945098078077383
Anxiety disorder 	buspirone	0.428571429	0.000135969	0.89285714275	0.790970967897522
Insomnia 	butabarbital	1.647058824	0.000146046	0.588235294	0.644102621853535
Headache 	butalbital	2.176470588	0.039765917	0.455882353	0.172409432264823
Headache 	butalbital	1.647058824	0.000441137	0.588235294	0.152460696976449
Anxiety disorder 	butalbital	2.176470588	0.039765917	0.455882353	0.172409432264823
Anxiety disorder 	butalbital	1.647058824	0.000441137	0.588235294	0.152460696976449
Hyperprolactinaemia 	cabergoline	0.4	2.9e-09	0.9	0.802535407328769
Hyperprolactinaemia 	cabergoline	1.2	4e-08	0.7	0.895622553226265
Hyperprolactinaemia 	cabergoline	1.55	0.000363905	0.6125	0.186519932320496
Thyroid cancer 	cabozantinib	0.333333333	0.006428897	0.91666666675	0.998223773135608
Ovarian cancer 	cabozantinib	0.333333333	0.006428897	0.91666666675	0.998223773135608
Orthostatic hypotension 	caffeine	1.78125	0.043226422	0.5546875	0.512963116713718
Vitamin D deficiency 	calcifediol	0	0.030499728	1	0.999498689431439
Psoriasis vulgaris 	calcipotriol	0	0.019968885	1	0.999498689431439
Congenital alopecia 	calcitriol	1	0.041950183	0.75	0.939653140975545
Urticaria 	canakinumab	1	0.023133954	0.75	0.945098078077383
Urticaria 	canakinumab	0	0.013228375	1	0.916996180685167
Rheumatoid arthritis 	canakinumab	1	0.023133954	0.75	0.945098078077383
Rheumatoid arthritis 	canakinumab	0	0.013228375	1	0.916996180685167
Cryopyrin-associated periodic syndromes 	canakinumab	1	0.023133954	0.75	0.945098078077383
Cryopyrin-associated periodic syndromes 	canakinumab	0	0.013228375	1	0.916996180685167
Vasculitis 	canakinumab	1	0.023133954	0.75	0.945098078077383
Vasculitis 	canakinumab	0	0.013228375	1	0.916996180685167
Thrombosis 	cangrelor	0	0.000212122	1	0.999498689431439
LennoxGastaut syndrome 	cannabidiol	0.789473684	5.63e-05	0.802631579	0.605523182537791
LennoxGastaut syndrome 	cannabidiol	1.710526316	0.011362714	0.572368421	0.133068133960698
LennoxGastaut syndrome 	cannabidiol	1.789473684	0.038827963	0.552631579	0.505877494381337
Dravet syndrome 	cannabidiol	0.789473684	5.63e-05	0.802631579	0.605523182537791
