disease	GeneID
Abnormalities	10637
Abnormalities	10642
Abnormalities	10644
Abnormalities	106633
Abnormalities	1071
Abnormalities	10718
Abnormalities	1072
Abnormalities	10735
Abnormalities	10743
Abnormalities	10752
Abnormalities	1078363
Abnormalities	10797
Abnormalities	1080
Abnormalities	10804
Abnormalities	1081
Abnormalities	10818
Abnormalities	10840
Abnormalities	10841
Abnormalities	10846
Abnormalities	10858
Abnormalities	10876
Abnormalities	10891
Abnormalities	10908
Abnormalities	10912
Abnormalities	10913
Abnormalities	10919
Abnormalities	10947
Abnormalities	10948
Abnormalities	10984
Abnormalities	10993
Abnormalities	10999
Abnormalities	11000
Abnormalities	11023
Abnormalities	11035
Abnormalities	11036
Abnormalities	11093
Abnormalities	111
Abnormalities	11107
Abnormalities	1112
Abnormalities	11122
Abnormalities	11127
Abnormalities	1113
Abnormalities	11132
Abnormalities	11149
Abnormalities	11155
Abnormalities	11169
Abnormalities	1119
Abnormalities	1120
Abnormalities	1121
Abnormalities	11211
Abnormalities	11217
Abnormalities	11222
Abnormalities	11231
Abnormalities	11235
Abnormalities	112476
Abnormalities	11259
Abnormalities	112609
Abnormalities	11278
Abnormalities	1129
Abnormalities	113026
Abnormalities	1131
Abnormalities	11315
Abnormalities	113235
Abnormalities	11340
Abnormalities	113451
Abnormalities	1135
Abnormalities	113612
Abnormalities	1137
Abnormalities	1138
Abnormalities	1139
Abnormalities	114299
Abnormalities	114659
Abnormalities	1147
Abnormalities	114789
Abnormalities	114798
Abnormalities	114899
Abnormalities	11491
Abnormalities	114991
Abnormalities	115
Abnormalities	115111
Abnormalities	115653
Abnormalities	1158
Abnormalities	115861
Abnormalities	115908
Abnormalities	116
Abnormalities	116039
Abnormalities	1161
Abnormalities	116448
Abnormalities	116519
Abnormalities	117178
Abnormalities	118
Abnormalities	1184
Abnormalities	1188
Abnormalities	119
Abnormalities	11907
Abnormalities	1191
Abnormalities	120
Abnormalities	120892
Abnormalities	1209
Abnormalities	121278
Abnormalities	121355
Abnormalities	1215
Abnormalities	121512
Abnormalities	121665
Abnormalities	122042
Abnormalities	122183
Abnormalities	123
Abnormalities	1230
Abnormalities	123016
Abnormalities	123036
Abnormalities	1234
Abnormalities	1235
Abnormalities	123606
Abnormalities	123811
Abnormalities	123872
Abnormalities	124
Abnormalities	1244
Abnormalities	124590
Abnormalities	125
Abnormalities	126
Abnormalities	12667
Abnormalities	1267
Abnormalities	1268
Abnormalities	127
Abnormalities	127018
Abnormalities	127074
Abnormalities	127534
Abnormalities	127617
Abnormalities	1277
Abnormalities	1278
Abnormalities	128
Abnormalities	1280
Abnormalities	1281
Abnormalities	128153
Abnormalities	128178
Abnormalities	1282
Abnormalities	128240
Abnormalities	1283
Abnormalities	1285
Abnormalities	1286
Abnormalities	128674
Abnormalities	1287
Abnormalities	1290
Abnormalities	1291
Abnormalities	1292
Abnormalities	1293
Abnormalities	1294
Abnormalities	1295
Abnormalities	1297
Abnormalities	129787
Abnormalities	1298
Abnormalities	129880
Abnormalities	1299
Abnormalities	13003
Abnormalities	1301
Abnormalities	1302
Abnormalities	130497
Abnormalities	1306
Abnormalities	130749
Abnormalities	1311
Abnormalities	1312
Abnormalities	132789
Abnormalities	132884
Abnormalities	1337
Abnormalities	134359
Abnormalities	134430
Abnormalities	135
Abnormalities	1351
Abnormalities	1352
Abnormalities	1361
Abnormalities	13712
Abnormalities	137196
Abnormalities	1373
Abnormalities	1375
Abnormalities	1376
Abnormalities	1378
Abnormalities	137814
Abnormalities	138009
Abnormalities	1381
Abnormalities	1382
Abnormalities	1387
Abnormalities	138882
Abnormalities	139189
Abnormalities	1392
Abnormalities	139285
Abnormalities	1393
Abnormalities	1394
Abnormalities	1399
Abnormalities	1400
Abnormalities	1401
Abnormalities	1403
Abnormalities	140628
Abnormalities	140690
Abnormalities	1407
Abnormalities	140733
Abnormalities	1408
Abnormalities	1413
Abnormalities	142
Abnormalities	143098
Abnormalities	1432
Abnormalities	1436
Abnormalities	143689
Abnormalities	1438
Abnormalities	1439
Abnormalities	1441
Abnormalities	144165
Abnormalities	145258
Abnormalities	1453
Abnormalities	1454
Abnormalities	1457
Abnormalities	1463
Abnormalities	146713
Abnormalities	146894
Abnormalities	148
Abnormalities	1482
Abnormalities	148738
Abnormalities	1490
Abnormalities	1491
Abnormalities	149233
Abnormalities	1493
Abnormalities	1499
Abnormalities	15
Abnormalities	150
Abnormalities	151126
Abnormalities	151242
Abnormalities	151246
Abnormalities	15227
Abnormalities	153
Abnormalities	1535
Abnormalities	1539
Abnormalities	154
Abnormalities	154091
Abnormalities	154214
Abnormalities	1543
Abnormalities	1544
Abnormalities	1545
Abnormalities	155
Abnormalities	1551
Abnormalities	1555
Abnormalities	1557
Abnormalities	1558
Abnormalities	1559
Abnormalities	1565
Abnormalities	1571
Abnormalities	1573
Abnormalities	157506
Abnormalities	157570
Abnormalities	1576
Abnormalities	1577
Abnormalities	158135
Abnormalities	1583
Abnormalities	158326
Abnormalities	1584
Abnormalities	158471
Abnormalities	1585
Abnormalities	1586
Abnormalities	1587
Abnormalities	1588
Abnormalities	1589
Abnormalities	1592
Abnormalities	1600
Abnormalities	160065
Abnormalities	1604
Abnormalities	1605
Abnormalities	1607
